run_id,status,final_lat_deg,final_long_deg,final_alt_m,max_mach,max_nz
195,SUCCESS,37.356387577030034,-115.80647407150971,14881.03013763111,2.4096968483744714,0.287614764421917
196,SUCCESS,37.3623654560708,-115.78945269861741,15202.35880219005,2.4071873523498333,0.3323721269414025
197,SUCCESS,37.373357670471734,-115.80283114939665,15095.646551661193,2.4032875448230935,0.7785436188967966
199,SUCCESS,37.37609698674751,-115.81994765117238,15077.341330467723,2.4110807148262956,0.7477390199468253
193,SUCCESS,37.36627396587068,-115.80040776848193,16218.488927168772,2.416849257908749,0.09229490112820987
201,SUCCESS,37.35127975448994,-115.79557178139947,14980.096217126586,2.403167834574239,0.2952088749151021
202,SUCCESS,37.35097138851311,-115.80025554477376,14986.085511279292,2.3926412625804145,0.8403602945047566
198,SUCCESS,37.34739433318346,-115.79719152780464,15869.430971332826,2.4046811520890556,0.10782032065497951
203,SUCCESS,37.356585427889875,-115.78898815605255,15196.336647274904,2.396499417686838,0.28529614079136306
204,SUCCESS,37.35110289599938,-115.80504170389882,15113.75894991681,2.398213046448813,0.3115639674330344
200,SUCCESS,37.35322578931485,-115.79221865616931,16301.608484780416,2.3854905175063372,0.1572788643952561
205,SUCCESS,37.37622813843172,-115.80684753069463,15100.578914938495,2.4007147466066643,0.7809231905667474
206,SUCCESS,37.358904865520586,-115.79075674848076,14904.3627287969,2.394377760611543,0.4410182848672746
208,SUCCESS,37.353816219983976,-115.78875954824466,15083.615616214462,2.40108039452603,0.2339275568850311
209,SUCCESS,37.36688640163414,-115.80090485999513,15068.700017601252,2.3955212732112936,0.6807275670080364
210,SUCCESS,37.363870006314116,-115.79406566319162,15015.351653723046,2.397011733499658,0.20880624970098038
211,SUCCESS,37.36507396969324,-115.81195471494028,15194.264501472935,2.406991817752288,0.5482268576249797
212,SUCCESS,37.36663003818471,-115.79770365336358,15105.54566191975,2.402293469137539,0.20155696247429855
213,SUCCESS,37.357786019813,-115.80675257590917,15105.510597188957,2.401348454674505,0.4047109711909746
214,SUCCESS,37.36046329972982,-115.81208251050629,14982.01679166127,2.3986004855824947,0.3017793197521593
216,SUCCESS,37.33826904186998,-115.79732713898404,15297.84603973385,2.3896848538448827,0.3254130466969266
215,SUCCESS,37.35482809178916,-115.78766037643524,14718.019664787687,2.399634601060616,0.2110606539541066
217,SUCCESS,37.380529804424484,-115.79794637476628,15122.783970538527,2.401399611397797,0.2754024663579766
218,SUCCESS,37.37844726548433,-115.79841612944632,15009.071799411438,2.390904576533449,0.31206128595174676
219,SUCCESS,37.35756810050173,-115.80433631218271,14983.781284423545,2.3942863038650315,0.6679915004911793
220,SUCCESS,37.35501788192072,-115.78538589943028,14928.413537634537,2.3867564842151743,0.19134984347915876
